customer_id,first_name,last_name,total_orders
1064,Oni,Mittal,22
1352,Raksha,Lala,21
1256,Isha,Balan,19
1439,Chandresh,Dewan,18
1341,Jyoti,Maharaj,17
1395,Jackson,Kala,17
1407,Prisha,Garg,17
1050,Vasatika,Rattan,16
1056,Ikbal,Sawhney,16
1067,Urvi,Master,16
1070,Dakshesh,Som,16
1089,Robert,Munshi,16
1102,Gaurangi,Balasubramanian,16
1255,Siya,Yohannan,16
1303,Gauri,Saxena,16
1332,Amara,Gade,16
1413,Tristan,Kota,16
1423,Yachana,Bala,16
1448,Laban,Varghese,16
1455,Parth,Pradhan,16
1007,Meera,Parsa,15
1017,Gagan,Goel,15
1029,Liam,Mander,15
1167,Chandresh,Singhal,15
1173,Robert,Sabharwal,15
1177,Ubika,Handa,15
1195,Shivani,Bhandari,15
1197,Saanvi,Rana,15
1217,Parth,Ratta,15
1278,Hritik,Shah,15
1292,Maanas,Dugar,15
1301,Eiravati,Sodhi,15
1309,Mitali,Gour,15
1338,Advay,Sidhu,15
1343,Nikita,Swaminathan,15
1348,Zayyan,Raghavan,15
1361,Vedhika,Grewal,15
1390,Samuel,Buch,15
1400,Sai,Dave,15
1481,Wyatt,Mahal,15
1069,Ronith,Barad,14
1075,Radhika,Loke,14
1087,Daksha,Tata,14
1092,Ethan,Seshadri,14
1098,Neelima,Pai,14
1108,Adya,Sangha,14
1135,Tejas,Roy,14
1189,Ijaya,Mandal,14
1190,Chaman,Bail,14
1225,Balhaar,Ramakrishnan,14
1250,Indali,Mutti,14
1252,Rehaan,Hayer,14
1259,Sneha,Hans,14
1275,Samar,Nath,14
1277,Yasti,Aggarwal,14
1307,Arunima,Mall,14
1308,Irya,Samra,14
1340,Priya,Ramanathan,14
1346,Kevin,Varty,14
1375,Veer,Pau,14
1416,Radha,Purohit,14
1417,Orinder,Mallick,14
1432,Abdul,Mittal,14
1467,Zaitra,Char,14
1470,Falak,Andra,14
1471,Hredhaan,Munshi,14
1489,Ishita,Kara,14
1006,Bakhshi,Swaminathan,13
1011,Jason,Handa,13
1023,Faris,Vyas,13
1040,Saumya,Brar,13
1049,Sai,Butala,13
1054,Faqid,Biswas,13
1062,Ekansh,Din,13
1117,Pahal,Butala,13
1137,Vamakshi,Sule,13
1147,Abdul,Jayaraman,13
1156,Nidhi,Purohit,13
1188,Nathan,Sarkar,13
1198,Radhika,Nagar,13
1199,Parth,Acharya,13
1200,Dipta,Wadhwa,13
1205,Laban,Ravel,13
1206,Bishakha,Jain,13
1246,Banjeet,Kar,13
1253,Rohan,Agate,13
1260,Baljiwan,Iyer,13
1261,Reyansh,Solanki,13
1266,Abhiram,Dyal,13
1310,David,Nigam,13
1325,Yash,Narula,13
