customer_id,first_name,last_name,average_order_value
1373,Kiaan,Boase,865632.0
1349,Ryan,Anand,849809.0
1478,Theodore,Bhandari,803121.0
1282,Shivansh,Kulkarni,754605.0
1026,Ekanta,Deep,743178.0
1111,Imaran,Ahuja,725876.0
1001,Madhav,Chadha,725822.0
1290,Neel,Dani,705278.0
1342,Inaya,Rajan,704402.0
1458,Harini,Ganesan,697525.0
1037,Bhanumati,Gade,682504.0
1278,Hritik,Shah,659832.0
1426,Anamika,Keer,654791.0
1253,Rohan,Agate,654062.0
1347,Warhi,Parmar,636463.0
1027,Devansh,Magar,634398.0
1044,Arya,Chakrabarti,633722.0
1078,Madhav,Gola,632558.0
1247,Xiti,Kalla,632506.0
1115,Anusha,Sahota,631967.0
1363,Pavani,Raval,631817.0
1053,Adya,Murthy,629829.0
1485,Nathan,Krishnamurthy,628066.0
1281,Omaja,Mand,623164.0
1387,Urvashi,Solanki,622333.0
1197,Saanvi,Rana,620687.0
1102,Gaurangi,Balasubramanian,617771.0
1203,Libni,Sarin,616696.0
1492,Rajeshri,Manda,614215.0
1430,Ganga,Bains,612526.0
1127,George,Sunder,610345.0
1016,Jagdish,Kannan,608018.0
1239,Janani,Morar,607025.0
1086,Tanmayi,Chatterjee,604851.0
1411,Hardik,De,604418.0
1380,Sneha,Pillai,603658.0
1145,Vanya,Khare,601850.0
1041,Chandani,Basu,601596.0
1418,Anamika,Samra,600117.0
1032,Vasatika,Kibe,598804.0
1058,Liam,Mane,596645.0
1334,Peter,Sem,595995.0
1028,Dayamai,Roy,589108.0
1474,Ekanta,Kota,585139.0
1465,Chakradhar,Modi,582216.0
1236,Bina,Chhabra,581376.0
1125,Pratyush,Sur,581352.0
1158,Madhavi,Thaker,580584.0
1144,Isaac,Sura,580288.0
1464,Saksham,Dave,576405.0
1336,Tristan,Lad,574074.0
1205,Laban,Ravel,569250.0
1404,Samarth,Acharya,568474.0
1213,Nathan,Kannan,568387.0
1100,Udant,Mammen,567915.0
1393,Ganga,Khatri,567649.0
1034,Suhani,Zachariah,567627.0
1003,Gautam,Chana,566834.0
1378,Samarth,Nigam,564396.0
1370,Theodore,Wali,563562.0
1440,Imaran,Agate,563524.0
1493,Pratyush,Datta,562649.0
1217,Parth,Ratta,561958.0
1476,Baghyawati,Karnik,559007.0
1237,Netra,Mohan,558938.0
1057,Yagnesh,Luthra,558168.0
1371,Nathaniel,Bora,557534.0
1092,Ethan,Seshadri,556432.0
1252,Rehaan,Hayer,555852.0
1011,Jason,Handa,555513.0
1277,Yasti,Aggarwal,554642.0
1172,Nitara,Goda,553580.0
1182,Udarsh,Cherian,553236.0
1477,Nitara,Vyas,553043.0
1147,Abdul,Jayaraman,552474.0
1352,Raksha,Lala,551937.0
1170,Widisha,Gill,551851.0
1410,Ekaraj,Kibe,550389.0
1221,Warinder,Chaudhary,546053.0
1489,Ishita,Kara,545225.0
1249,Arjun,Pradhan,537852.0
1099,Meera,Ahluwalia,536629.0
1167,Chandresh,Singhal,535528.0
1225,Balhaar,Ramakrishnan,533790.0
1383,Kevin,Ram,532784.0
1025,Ronith,Buch,530908.0
1168,Anika,Dua,529876.0
1413,Tristan,Kota,529676.0
1397,Unni,Maharaj,527849.0
1067,Urvi,Master,527697.0
1219,Pushti,Iyengar,527589.0
1367,Samesh,Mitra,527168.0
1359,Leela,Sane,525378.0
1321,Yashica,Rai,525077.0
1304,Agastya,Modi,524506.0
1444,Teerth,Grover,524246.0
1246,Banjeet,Kar,523145.0
1129,Anjali,Oak,523085.0
1415,Nidra,Iyengar,522703.0
1075,Radhika,Loke,522552.0
1350,Advik,Mand,519640.0
1070,Dakshesh,Som,519578.0
1326,Upasna,Datta,517384.0
1432,Abdul,Mittal,516892.0
1224,Aryan,Minhas,516300.0
1486,Ria,Bakshi,516038.0
1340,Priya,Ramanathan,515711.0
1382,Harini,Sachar,515441.0
1292,Maanas,Dugar,513664.0
1264,Hema,Chandran,513342.0
1269,Vivaan,Rattan,513064.0
1135,Tejas,Roy,512944.0
1023,Faris,Vyas,511603.0
1019,Zashil,Sarraf,511114.0
1287,Upma,Uppal,510911.0
1448,Laban,Varghese,509919.0
1498,Elijah,Yadav,509873.0
1437,Sudiksha,Wason,509450.0
1328,Vritti,Kibe,508635.0
1475,Mitesh,Mishra,508514.0
1280,Unnati,Bir,508455.0
1320,Vrinda,Mody,508278.0
1351,Banjeet,Chacko,506241.0
1171,Advik,Saxena,505493.0
1024,Chanakya,Dhingra,505184.0
1491,Amrita,Ben,502333.0
1089,Robert,Munshi,502315.0
1046,Zaitra,Mutti,502206.0
1407,Prisha,Garg,501794.0
1152,Raghav,Dani,501257.0
1098,Neelima,Pai,501096.0
1490,Rachita,Agate,498460.0
1153,Oeshi,Sahota,496095.0
1251,Krishna,Dube,495803.0
1431,Imaran,Din,495134.0
1374,Jack,Tara,494925.0
1120,Rachana,Randhawa,494763.0
1286,Joshua,Dugar,494568.0
1296,Leena,Krishna,494185.0
1500,Nirja,Anne,494111.0
1199,Parth,Acharya,494028.0
1365,Qasim,Sodhi,493965.0
1420,Osha,Lal,493002.0
1212,Ikshita,Subramaniam,492884.0
1124,Maya,Gupta,492867.0
1399,Qadim,Deshmukh,492739.0
1039,Udyati,Kohli,492694.0
1344,Abeer,Naidu,492694.0
1149,Odika,Gandhi,491387.0
1123,Darpan,Malhotra,491330.0
1257,Yatin,Bajwa,490927.0
1085,Banjeet,Balay,488307.0
1470,Falak,Andra,487646.0
1314,Faras,Garg,487330.0
1052,Yahvi,Mistry,487053.0
1285,Charan,Sibal,486849.0
1087,Daksha,Tata,485977.0
1306,Jalsa,Badami,485299.0
1185,Nihal,Din,485255.0
1294,Chaaya,Oak,483951.0
