customer_id,first_name,last_name,lifetime_value
1352,Raksha,Lala,11590688.0
1064,Oni,Mittal,10489914.0
1278,Hritik,Shah,9897481.0
1102,Gaurangi,Balasubramanian,9884338.0
1197,Saanvi,Rana,9310311.0
1407,Prisha,Garg,8530510.0
1253,Rohan,Agate,8502809.0
1413,Tristan,Kota,8474817.0
1067,Urvi,Master,8443155.0
1217,Parth,Ratta,8429380.0
1070,Dakshesh,Som,8313248.0
1448,Laban,Varghese,8158709.0
1341,Jyoti,Maharaj,8113406.0
1089,Robert,Munshi,8037043.0
1167,Chandresh,Singhal,8032929.0
1439,Chandresh,Dewan,7955702.0
1092,Ethan,Seshadri,7790052.0
1252,Rehaan,Hayer,7781932.0
1277,Yasti,Aggarwal,7764990.0
1292,Maanas,Dugar,7704974.0
1455,Parth,Pradhan,7688024.0
1489,Ishita,Kara,7633157.0
1056,Ikbal,Sawhney,7608354.0
1037,Bhanumati,Gade,7507547.0
1225,Balhaar,Ramakrishnan,7473070.0
1205,Laban,Ravel,7400257.0
1370,Theodore,Wali,7326309.0
1075,Radhika,Loke,7315732.0
1493,Pratyush,Datta,7314444.0
1411,Hardik,De,7253020.0
1432,Abdul,Mittal,7236501.0
1011,Jason,Handa,7221675.0
1340,Priya,Ramanathan,7219954.0
1255,Siya,Yohannan,7193892.0
1147,Abdul,Jayaraman,7182173.0
1135,Tejas,Roy,7181222.0
1309,Mitali,Gour,7176314.0
1343,Nikita,Swaminathan,7138774.0
1342,Inaya,Rajan,7044024.0
1098,Neelima,Pai,7015352.0
1465,Chakradhar,Modi,6986596.0
1236,Bina,Chhabra,6976519.0
1007,Meera,Parsa,6954507.0
1332,Amara,Gade,6949925.0
1485,Nathan,Krishnamurthy,6908726.0
1336,Tristan,Lad,6888895.0
1397,Unni,Maharaj,6862044.0
1470,Falak,Andra,6827044.0
1444,Teerth,Grover,6815210.0
1087,Daksha,Tata,6803678.0
1246,Banjeet,Kar,6800893.0
1050,Vasatika,Rattan,6777096.0
1127,George,Sunder,6713798.0
1026,Ekanta,Deep,6688608.0
1338,Advay,Sidhu,6687918.0
1400,Sai,Dave,6677252.0
1390,Samuel,Buch,6674245.0
1023,Faris,Vyas,6650841.0
1481,Wyatt,Mahal,6621171.0
1145,Vanya,Khare,6620356.0
1041,Chandani,Basu,6617564.0
1221,Warinder,Chaudhary,6552638.0
1028,Dayamai,Roy,6480197.0
1177,Ubika,Handa,6436341.0
1199,Parth,Acharya,6422376.0
1399,Qadim,Deshmukh,6405614.0
1348,Zayyan,Raghavan,6402797.0
1029,Liam,Mander,6395938.0
1125,Pratyush,Sur,6394878.0
1383,Kevin,Ram,6393408.0
1290,Neel,Dani,6347505.0
1346,Kevin,Varty,6306167.0
1381,Robert,Krishnan,6222681.0
1195,Shivani,Bhandari,6204960.0
1486,Ria,Bakshi,6192466.0
1261,Reyansh,Solanki,6148669.0
1057,Yagnesh,Luthra,6139858.0
1198,Radhika,Nagar,6113174.0
1239,Janani,Morar,6070259.0
1024,Chanakya,Dhingra,6062213.0
1410,Ekaraj,Kibe,6054285.0
1445,Azaan,Buch,6047775.0
1256,Isha,Balan,6029965.0
1017,Gagan,Goel,6002339.0
1418,Anamika,Samra,6001177.0
1189,Ijaya,Mandal,5986454.0
1325,Yash,Narula,5964878.0
1266,Abhiram,Dyal,5957364.0
1108,Adya,Sangha,5952164.0
1301,Eiravati,Sodhi,5951156.0
1251,Krishna,Dube,5949643.0
1039,Udyati,Kohli,5912328.0
1474,Ekanta,Kota,5851394.0
1375,Veer,Pau,5827638.0
1111,Imaran,Ahuja,5807008.0
1414,Nihal,Karan,5781914.0
1359,Leela,Sane,5779168.0
1321,Yashica,Rai,5775857.0
1416,Radha,Purohit,5771423.0
1421,Anusha,Gaba,5762174.0
1173,Robert,Sabharwal,5760384.0
1472,Rachit,Gopal,5758118.0
1129,Anjali,Oak,5753944.0
1415,Nidra,Iyengar,5749742.0
1392,Nilima,Samra,5743606.0
1391,Urvashi,Chadha,5705820.0
1078,Madhav,Gola,5693025.0
1326,Upasna,Datta,5691234.0
1393,Ganga,Khatri,5676498.0
1275,Samar,Nath,5669712.0
1053,Adya,Murthy,5668462.0
1003,Gautam,Chana,5668349.0
1138,Tanay,Bakshi,5667751.0
1248,Shravya,Manne,5647867.0
1433,Karan,Nagarajan,5645200.0
1054,Faqid,Biswas,5645095.0
1462,Azaan,Parmer,5638141.0
1478,Theodore,Bhandari,5621852.0
1437,Sudiksha,Wason,5603960.0
1475,Mitesh,Mishra,5593661.0
1471,Hredhaan,Munshi,5592651.0
1079,Eta,Sarraf,5585812.0
1351,Banjeet,Chacko,5568657.0
1171,Advik,Saxena,5560431.0
1303,Gauri,Saxena,5547802.0
